crop,planting_date,days_since_planting,growth_stage,season,county,soil_type,temperature,rainfall_mm,pest_pressure,disease_occurrence,next_practice,days_until_practice,priority
cabbage,2025-08-08,81,mature,short_rains,Meru,peaty,14.0,185.5,low,medium,disease_management,0,high
beans,2025-10-25,3,seedling,short_rains,Nakuru,chalky,22.3,181.5,low,medium,disease_management,0,high
wheat,2025-06-04,146,mature,long_rains,Meru,sandy,22.2,181.9,high,medium,pest_control,0,high
kale,2025-09-03,55,fruiting,dry_season,Kiambu,silty,22.1,20.6,none,high,disease_management,0,high
cabbage,2025-09-21,37,flowering,short_rains,Nakuru,sandy,19.4,158.8,low,high,disease_management,0,high
tomatoes,2025-08-06,83,mature,long_rains,Meru,sandy,22.0,65.5,none,none,harvesting,0,high
maize,2025-08-15,74,flowering,long_rains,Machakos,clay,24.4,125.7,low,none,irrigation,7,medium
wheat,2025-08-20,69,flowering,long_rains,Kisumu,peaty,22.3,58.9,high,none,pest_control,0,high
maize,2025-06-03,147,mature,short_rains,Nakuru,clay,23.4,169.5,none,high,disease_management,0,high
maize,2025-06-15,135,mature,short_rains,Eldoret,chalky,23.7,53.1,none,high,disease_management,0,high
potatoes,2025-10-24,4,seedling,short_rains,Kiambu,peaty,15.2,187.3,medium,high,pest_control,0,high
tomatoes,2025-09-30,28,vegetative,long_rains,Kiambu,sandy,21.9,128.0,high,none,pest_control,0,high
cabbage,2025-09-30,28,vegetative,short_rains,Machakos,loamy,16.9,159.6,medium,none,pest_control,0,high
potatoes,2025-07-19,101,mature,short_rains,Meru,loamy,22.8,98.0,low,medium,disease_management,0,high
wheat,2025-10-13,15,seedling,long_rains,Nairobi,sandy,17.8,151.5,medium,none,pest_control,0,high
tomatoes,2025-08-14,75,mature,long_rains,Kisumu,clay,24.6,178.4,low,low,harvesting,0,high
beans,2025-10-09,19,vegetative,long_rains,Kisumu,loamy,25.7,85.2,none,none,pest_control,2,medium
kale,2025-09-15,43,fruiting,long_rains,Machakos,sandy,24.5,176.7,medium,low,pest_control,0,high
tomatoes,2025-07-20,100,mature,long_rains,Eldoret,loamy,26.5,138.6,high,low,pest_control,0,high
tomatoes,2025-10-07,21,vegetative,long_rains,Nairobi,sandy,27.5,172.3,none,high,disease_management,0,high
tomatoes,2025-08-09,80,mature,long_rains,Machakos,silty,26.1,100.2,none,none,harvesting,0,high
potatoes,2025-07-17,103,mature,short_rains,Meru,peaty,16.8,64.6,high,low,pest_control,0,high
tomatoes,2025-10-11,17,vegetative,long_rains,Kiambu,peaty,19.4,115.2,none,none,irrigation,0,high
potatoes,2025-09-18,40,vegetative,short_rains,Meru,loamy,20.7,143.9,none,high,disease_management,0,high
beans,2025-07-06,114,mature,short_rains,Meru,silty,21.0,140.8,low,medium,disease_management,0,high
maize,2025-06-29,121,mature,long_rains,Machakos,clay,24.8,70.4,none,low,harvesting,0,high
